cod_mun,municipio_residencia,regiao_saude_residencia,tratado,medicos_pmm_inicial,populacao_2014,log_populacao,taxa_icsap_pre,taxa_clinicas_pre,taxa_icsap_pos,mudanca_taxa_icsap
521340,MOIPORA,OESTE I,0,0.0,1724,7.452402451223638,185.77981651376143,206.42201834862385,102.39316797925994,-83.38664853450149
521350,MONTE ALEGRE DE GOIAS,NORDESTE I,1,1.0,8243,9.017119634313227,280.6759735488611,374.7244673034533,213.26768174950104,-67.40829179936009
521370,MONTES CLAROS DE GOIAS,OESTE I,0,0.0,8217,9.013960457931187,450.1827040194884,635.8099878197321,373.4235225301631,-76.75918148932533
521375,MONTIVIDIU,SUDOESTE I,0,0.0,11858,9.380758024267314,222.20308328309363,288.34725691154944,268.93024777443475,46.727164491341114
521377,MONTIVIDIU DO NORTE,NORTE,0,0.0,4356,8.37930948405285,74.91329479768785,94.33526011560693,92.5777659722994,17.66447117461155
521380,MORRINHOS,SUL,0,0.0,44204,10.696570561708674,514.0664961636828,637.9247351114359,421.7364761369636,-92.33002002671924
521385,MORRO AGUDO DE GOIAS,SAO PATRICIO I,0,0.0,2378,7.774015077250727,678.6761625471304,799.3297025555089,779.5303153538077,100.85415280667735
521390,MOSSAMEDES,RIO VERMELHO,0,0.0,4878,8.492490578775866,165.1821862348178,211.33603238866397,627.2300941817805,462.0479079469627
521400,MOZARLANDIA,RIO VERMELHO,0,0.0,14558,9.585895949678203,401.94986072423393,540.6685236768802,287.89216125251403,-114.0576994717199
521405,MUNDO NOVO,NORTE,0,0.0,6046,8.707152175339404,1021.3592233009708,1743.6893203883494,1355.6178082787906,334.25858497781974
521410,MUTUNOPOLIS,NORTE,0,0.0,3922,8.274357006756292,519.3482688391039,687.3727087576374,725.8166881193746,206.46841928027072
521440,NAZARIO,CENTRAL,0,0.0,8532,9.05157907959124,151.0509440684004,179.55112219451368,239.30555616593188,88.25461209753146
521450,NEROPOLIS,CENTRAL,1,1.0,26857,10.19828177359369,797.4510696404188,1033.227127901684,468.39611082453246,-329.0549588158864
521460,NIQUELANDIA,SERRA DA MESA,0,0.0,44895,10.712081708954909,249.7530309833857,339.7395599461159,197.33827870391596,-52.41475227946975
521470,NOVA AMERICA,SAO PATRICIO I,0,0.0,2350,7.762170607138205,256.19128949615714,348.4201537147737,223.03611065995344,-33.1551788362037
521480,NOVA AURORA,ESTRADA DE FERRO,0,0.0,2168,7.681560362559537,222.73781902552201,256.14849187935033,255.35021512525992,32.61239609973791
521483,NOVA CRIXAS,RIO VERMELHO,0,0.0,12571,9.43914785291483,381.4862267777066,739.9103139013454,511.43083512630005,129.94460834859348
521486,NOVA GLORIA,SAO PATRICIO I,0,0.0,8604,9.05998249038762,291.9031622842581,414.2244874319471,264.8580292846367,-27.045132999621387
521487,NOVA IGUACU DE GOIAS,SERRA DA MESA,0,0.0,2935,7.984462732262196,90.22556390977442,114.83253588516746,93.5509406710614,3.325376761286975
521490,NOVA ROMA,NORDESTE II,0,0.0,3487,8.156797046675651,30.821917808219172,37.671232876712324,43.11526799003957,12.293350181820397
521500,NOVA VENEZA,CENTRAL,1,1.0,8957,9.100190628475195,201.68067226890753,246.6500113558937,203.19812206676391,1.5174497978563863
521520,NOVO BRASIL,OESTE I,0,0.0,3392,8.129174996911793,585.1959361393323,811.611030478955,577.8857801584656,-7.310155980866625
521523,NOVO GAMA,ENTORNO SUL,1,2.0,104899,11.560753261450484,232.46835136052775,295.0962797691226,159.95382660076137,-72.51452475976637
521525,NOVO PLANALTO,NORTE,0,0.0,4252,8.355144739461839,151.28449096098953,171.26546146527116,142.51799279193938,-8.766498169050152
521530,ORIZONA,CENTRO SUL,0,0.0,15140,9.625095526991439,996.0063897763577,1404.952076677316,881.696751390241,-114.3096383861166
521540,OURO VERDE DE GOIAS,CENTRAL,0,0.0,4039,8.303752415563412,316.1004431314623,443.13146233382565,220.98964873361223,-95.1107943978501
521550,OUVIDOR,ESTRADA DE FERRO,0,0.0,6038,8.705828110266784,313.50075846957697,384.29125231754597,378.5519777111184,65.05121924154145
521560,PADRE BERNARDO,SAO PATRICIO II,0,0.0,30599,10.328722607667915,326.5577697195515,443.1285139226188,276.58815184690945,-49.96961787264206
521565,PALESTINA DE GOIAS,OESTE I,0,0.0,3490,8.157657015196472,961.516369902355,1275.1292360712234,638.2572671192997,-323.25910278305525
521570,PALMEIRAS DE GOIAS,OESTE II,0,0.0,25920,10.16277015046621,120.29720485906357,150.4894445099658,75.29784541168557,-44.999359447378
521580,PALMELO,ESTRADA DE FERRO,0,0.0,2412,7.788211557847076,897.3826339842127,1086.8300789364353,644.2401678143499,-253.14246616986281
521590,PALMINOPOLIS,OESTE II,0,0.0,3659,8.204945165019208,377.4617067833698,452.95404814004377,187.1573641462394,-190.3043426371304
521600,PANAMA,SUL,0,0.0,2728,7.911324018963353,109.76948408342481,136.11416026344673,130.26932715077106,20.499843067346248
521630,PARANAIGUARA,SUDOESTE I,0,0.0,9678,9.177610547353265,615.4487647242781,880.642134890024,550.6645967362176,-64.78416798806052
521640,PARAUNA,OESTE II,0,0.0,11187,9.32250766884693,472.48322147651004,636.7785234899328,465.5587017871261,-6.924519689383942
521645,PEROLANDIA,SUDOESTE II,0,0.0,3090,8.035926369891792,101.49642160052048,113.2075471698113,67.78137360661633,-33.71504799390415
521680,PETROLINA DE GOIAS,CENTRAL,0,0.0,10546,9.263501920090414,810.2418207681366,1284.7795163584635,899.3502052555483,89.10838448741174
521690,PILAR DE GOIAS,SAO PATRICIO I,0,0.0,2658,7.885329239273191,213.09655937846836,253.05216426193115,174.42399351066175,-38.67256586780661
521710,PIRACANJUBA,CENTRO SUL,0,0.0,24768,10.117307776389454,741.6221466731422,1019.9125789218067,589.4266368192646,-152.19550985387764
521720,PIRANHAS,OESTE I,0,0.0,11238,9.327056171672144,492.1336397383772,700.0176772140711,466.85396306958484,-25.279676668792376
521730,PIRENOPOLIS,PIRENEUS,1,1.0,24279,10.097367058163812,891.3773796192609,1124.7978101281572,889.4019982035463,-1.975381415714537
521740,PIRES DO RIO,ESTRADA DE FERRO,0,0.0,30469,10.324465052274801,589.0447208256152,772.0296374702302,414.9677993196776,-174.07692150593755
521760,PLANALTINA,ENTORNO NORTE,1,12.0,86751,11.370797225120187,186.52777454832935,236.05459576348034,157.6288182298917,-28.898956318437655
521770,PONTALINA,CENTRO SUL,0,0.0,17811,9.787571522938785,380.6411628824159,514.5078595977238,101.13834029636918,-279.50282258604676
